Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,dist,slope,perc_cycle,prob_cycle,performance,non_active,cycle_added_unweighted,cycle_added_weighted,potential_demand,cycle_fraction,dist2,distance_groups,distance_groups_comb
E02002887,E02002896,40,0,0,0,12,0,1,23,2,1,1,0,7067.489144593074,0.03437902942417841,0.025,0.03444419553145189,0.7258116966956552,38,0.7914227872694376,5.36446393015504,6,0.15,7.0674891445930745,7-8 km,6-8 km
E02002887,E02002897,13,0,0,0,6,0,0,5,0,0,2,0,2647.4969198013955,0.04555852153365298,0,0.04830737131358901,0,11,0.5313810844494791,3.6018354620934483,4,0.3076923076923077,2.6474969198013953,2-3 km,2-4 km
E02002887,E02002898,140,0,0,0,45,0,4,55,18,12,6,0,4208.374273655913,0.02598880886474072,0.08571428571428572,0.04387972724046361,1.9533914886153725,122,1.3822745711029487,9.369406842373147,21,0.15,4.208374273655913,4-5 km,4-6 km
E02002887,E02002899,41,0,0,0,9,0,0,15,2,8,7,0,3923.5420275997767,0.026921226362715326,0.1951219512195122,0.04454784584389398,4.380053569891234,26,0.05562532340128441,0.3770425185998718,8,0.1951219512195122,3.9235420275997765,3-4 km,2-4 km
E02002887,E02006904,155,0,4,1,80,3,0,48,7,4,7,1,6450.876181437702,0.039264949175445533,0.025806451612903226,0.03862298825989399,0.6681629976233759,144,3.5000259145041355,23.72406136768613,28,0.18064516129032257,6.450876181437702,6-7 km,6-8 km
E02002887,E02006905,73,0,0,0,13,1,0,48,6,2,3,0,6174.829999809007,0.036894308288345994,0.0273972602739726,0.03945289828191714,0.6944295974962598,68,1.6578440951359374,11.237286812098715,13,0.1780821917808219,6.174829999809007,6-7 km,6-8 km
E02002888,E02002872,23,0,7,0,5,0,0,5,4,2,0,0,7387.272784282365,0.0272381357452526,0.08695652173913043,0.031469115101467895,2.763233775679771,21,0.09733915551705496,0.6597894288141355,3,0.13043478260869565,7.3872727842823656,7-8 km,6-8 km
E02002888,E02002874,32,0,0,1,15,0,0,12,0,1,3,0,3777.6461565908285,0.021649624054649968,0.03125,0.04334975920042287,0.7208805902593148,28,0.7364411368888337,4.991784390177717,6,0.1875,3.7776461565908286,3-4 km,2-4 km
E02002888,E02002876,14,0,0,0,6,0,0,5,2,0,1,0,5226.934026252116,0.02595284720410833,0,0.04097337266569623,0,13,0.532653844654051,3.6104625528456866,4,0.2857142857142857,5.226934026252116,5-6 km,4-6 km
E02002888,E02002877,22,0,0,0,7,0,0,8,2,1,4,0,2988.262104487319,0.04661472923114146,0.045454545454545456,0.04959289087211748,0.9165536562842574,17,0.4466406050349706,3.0274430481327754,4,0.18181818181818182,2.988262104487319,2-3 km,2-4 km
E02002888,E02002879,19,0,0,0,4,0,0,11,2,1,1,0,3437.2170538735572,0.03315320992820278,0.05263157894736842,0.0464046312599,1.1341880652513527,17,0.3594062449671561,2.4361464800006902,3,0.15789473684210525,3.437217053873557,3-4 km,2-4 km
E02002888,E02002881,14,0,0,0,4,0,0,9,1,0,0,0,7300.661201973296,0.02611253451216293,0,0.031686421427102,0,14,0.443609899979428,3.0069001623138187,3,0.21428571428571427,7.300661201973296,7-8 km,6-8 km
E02002888,E02002882,32,0,0,0,8,0,0,9,0,0,15,0,1481.2303775205617,0.02674004456232467,0,0.03593192559212912,0,17,0.610842735066195,4.140446638598318,4,0.125,1.4812303775205617,1-2 km,0-2 km
E02002888,E02002883,33,0,0,0,3,0,0,17,1,1,11,0,672.7319324844073,0.02731462857710997,0.030303030303030304,0.025517845270226054,1.1875230836354178,21,0.23527903256191957,1.5947808225927373,3,0.09090909090909091,0.6727319324844072,0-1 km,0-2 km
E02002888,E02002884,38,0,0,1,10,0,0,16,5,1,5,0,2416.728906907261,0.024530589041191587,0.02631578947368421,0.04191821117721777,0.6277889426728839,32,0.8680993216709613,5.884196884149742,7,0.18421052631578946,2.416728906907261,2-3 km,2-4 km
E02002888,E02002885,21,0,3,0,1,1,0,7,4,0,5,0,3362.865337098427,0.022437881597397107,0,0.04359805253572699,0,16,0.6975688405716318,4.728298128687327,5,0.23809523809523808,3.362865337098427,3-4 km,2-4 km
E02002888,E02002886,21,0,0,0,6,0,0,11,0,1,2,1,4572.159635978511,0.017256220216077225,0.047619047619047616,0.04094376708945828,1.1630353287963093,18,0.32911811211760555,2.2308458508088718,3,0.14285714285714285,4.572159635978511,4-5 km,4-6 km
E02002888,E02002887,12,0,0,0,4,0,0,5,2,1,0,0,6543.556443774824,0.020419531795458357,0.08333333333333333,0.0341948294714733,2.4370156138036405,11,0.06946056758694287,0.4708213048475118,1,0.08333333333333333,6.543556443774825,6-7 km,6-8 km
E02002888,E02002888,125,0,1,0,20,1,0,35,5,0,63,0,0,0.021551859123383033,0,0.007134928240543343,0,62,0.44236555091368723,2.998465649450322,3,0.024,0,NA,NA
E02002888,E02002889,97,0,2,1,41,0,0,15,3,1,34,0,2369.2466890695796,0.028951226843071946,0.010309278350515464,0.04278371551961681,0.24096267061678048,62,2.244570215205266,15.214264931279633,16,0.16494845360824742,2.3692466890695796,2-3 km,2-4 km
E02002888,E02002890,173,0,1,0,49,4,0,38,2,5,73,1,951.9467986231662,0.03314420008240208,0.028901734104046242,0.030824907707840753,0.9376097530600124,95,1.5288917259403545,10.363215020908005,15,0.08670520231213873,0.9519467986231661,0-1 km,0-2 km
E02002888,E02002893,31,0,0,0,7,0,0,11,0,1,12,0,3673.2104414313685,0.024088691009653638,0.03225806451612903,0.04402554999717821,0.7327123572152214,18,0.47687976802713655,3.232411747238892,4,0.12903225806451613,3.6732104414313684,3-4 km,2-4 km
